Temps [s];Marche [s/j];Amplitude [°]
3150;3.8;285
3152;0.7;286
3154;2.2;287
3156;3.6;286
3158;2.2;271
3160;2;285
3162;1.7;288
3164;3.9;286
3166;2.7;283
3168;2.8;286
3170;1.5;283
3172;4.7;283
3174;1.6;280
3176;3.3;277
3178;2.1;278
3180;5.3;271
3182;0.7;272
3184;0.1;273
3186;1.4;274
3188;2.4;273
3190;0.2;275
3192;0.2;271
3194;2.6;274
3196;-0.2;275
3198;0.6;278
3200;-0.1;273
3202;4.2;279
3204;-0.4;280
3206;1.1;276
3208;1.1;285
3210;3.6;279
3212;0.7;282
3214;0.7;282
3216;2.9;281
3218;2.4;282
3220;2.3;283
3222;1.5;285
3224;3.7;281
3226;1.1;280
3228;2.2;281
3230;0.8;283
3232;3.9;283
3234;1.3;283
